"Timestamp","1. Sugu","2. Vanus","3. Teie roll ÕIS2 kasutajana.","4. Millises TLÜ instituudis õpite?","5. Kui tihti külastate ÕIS2 keskkonda?","6. Millist seadet kasutate kõige enam ÕIS2 külastamiseks?","7. Teie rahulolu ÕIS2 kasutajaliidesega.","8. Millist ÕIS2 sisselogimise viisi kõige enam kasutate?","9. Millisest sisselogimise viisist tunnete puudust?","10. Kas ÕIS2 menüüs olevad jaotused on Teie jaoks selgesti mõistetavad?","11. Millised on ÕIS2 menüü puudused Teie jaoks?","12. Kuidas otsite registreeritavat ainet?","13. Millist viisi kasutate kõige enam tunniplaani vaatamiseks?","14. Kas Teie jaoks on ÕIS2 õpingukava vaatamise vorm lihtsasti arusaadav?","15. Mis on tekitanud Teie jaoks ÕIS2 õpingukava vormis probleeme?","16. Milliseid ÕIS2 õpingukavas olevate ainete infolinke olete kasutanud?"
"2019/04/17 12:53:35 pm GMT+3","Mees","25","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Nutitelefon","5","Ülikooli konto","","Jah","","Ainekoodi järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:54:07 pm GMT+3","Mees","21","Üliõpilane","Balti filmi, meedia, kunstide ja kommunikatsiooni instituut","enam kui kord nädalas","Nutitelefon","4","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:54:42 pm GMT+3","Naine","20","Üliõpilane","Balti filmi, meedia, kunstide ja kommunikatsiooni instituut","kord päevas","Nutitelefon","4","Ülikooli konto","Smart-ID","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:55:17 pm GMT+3","Mees","23","Üliõpilane","Digitehnoloogiate instituut","enam kui kord kuus","Nutitelefon","3","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:55:46 pm GMT+3","Mees","22","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Nutitelefon","4","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke"
"2019/04/17 12:56:13 pm GMT+3","Mees","20","Üliõpilane","Digitehnoloogiate instituut","enam kui kord kuus","Nutitelefon","3","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:56:52 pm GMT+3","Mees","22","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Nutitelefon","5","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ÕIS2","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:57:19 pm GMT+3","Mees","21","Üliõpilane","Digitehnoloogiate instituut","enam kui kord päevas","Nutitelefon","5","Ülikooli konto","Smart-ID","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ÕIS2","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:57:55 pm GMT+3","Ei soovi vastata","22","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Nutitelefon","4","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 2:52:51 pm GMT+3","Naine","20","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Nutitelefon","5","Ülikooli konto","","Jah","","Ainekoodi järgi","ASIO mobiilversioon","Ei","","kursuseprogrammi linke;kursuse veebilinke"
